id;categoria;produto;custo_brl;venda_brl;aliexpress;loja
tech-001;Tech;Fone TWS Pulse;28,44;56,88;https://pt.aliexpress.com/item/1005010391183440.html;https://alvaloja.store/produto.html?id=tech-001
tech-002;Tech;Fone Esportivo Gancho;32,12;64,24;https://pt.aliexpress.com/item/1005010802856880.html;https://alvaloja.store/produto.html?id=tech-002
tech-003;Tech;Fone Gamer RGB;38,33;76,66;https://pt.aliexpress.com/item/1005009841006834.html;https://alvaloja.store/produto.html?id=tech-003
tech-004;Tech;Fone Condução Óssea;77,18;154,36;https://pt.aliexpress.com/item/1005006904617360.html;https://alvaloja.store/produto.html?id=tech-004
tech-005;Tech;Smartwatch X1;61,12;122,24;https://pt.aliexpress.com/item/1005008908936664.html;https://alvaloja.store/produto.html?id=tech-005
tech-006;Tech;Smartwatch Esportivo;69,93;139,86;https://pt.aliexpress.com/item/1005012242507031.html;https://alvaloja.store/produto.html?id=tech-006
tech-007;Tech;Carregador Mag 15W;35,22;70,44;https://pt.aliexpress.com/item/1005010796075440.html;https://alvaloja.store/produto.html?id=tech-007
tech-008;Tech;Power Bank 20000mAh;64,23;128,46;https://pt.aliexpress.com/item/1005009905569823.html;https://alvaloja.store/produto.html?id=tech-008
tech-009;Tech;Cabo USB-C 2m;9,84;19,68;https://pt.aliexpress.com/item/1005012775965431.html;https://alvaloja.store/produto.html?id=tech-009
tech-010;Tech;Hub USB-C 6 em 1;49,73;99,46;https://pt.aliexpress.com/item/1005007398525395.html;https://alvaloja.store/produto.html?id=tech-010
tech-011;Tech;Capa iPhone Silicone;12,90;25,80;https://pt.aliexpress.com/w/wholesale-iphone+silicone+case.html;https://alvaloja.store/produto.html?id=tech-011
tech-012;Tech;Capa Android Fosca;11,40;22,80;https://pt.aliexpress.com/w/wholesale-android+matte+phone+case.html;https://alvaloja.store/produto.html?id=tech-012
tech-013;Tech;Película Privacidade;9,32;18,64;https://pt.aliexpress.com/w/wholesale-privacy+screen+protector.html;https://alvaloja.store/produto.html?id=tech-013
tech-014;Tech;Suporte Mesa Articulado;17,61;35,22;https://pt.aliexpress.com/w/wholesale-desktop+phone+stand+adjustable.html;https://alvaloja.store/produto.html?id=tech-014
tech-015;Tech;Mini Projetor Portátil;145,04;290,08;https://pt.aliexpress.com/w/wholesale-mini+portable+projector.html;https://alvaloja.store/produto.html?id=tech-015
tech-016;Tech;Teclado Bluetooth Slim;54,39;108,78;https://pt.aliexpress.com/w/wholesale-slim+bluetooth+keyboard.html;https://alvaloja.store/produto.html?id=tech-016
tech-017;Tech;Mouse Silencioso;26,42;52,84;https://pt.aliexpress.com/w/wholesale-silent+wireless+mouse.html;https://alvaloja.store/produto.html?id=tech-017
tech-018;Tech;Webcam Full HD;68,38;136,76;https://pt.aliexpress.com/w/wholesale-webcam+1080p+autofocus.html;https://alvaloja.store/produto.html?id=tech-018
